Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index,descriptor_count_used,Base_Resistance_Target
Glass Fiber (S-Glass),2.48,1550.0,0.73,1.5,2.9,,,Non,0.0,0.0,0.0,1550.0,0.0,0.0,7,0.582007326505028
Glass Fiber Fabric (E-Glass),2.55,1100.0,0.8,1.0,5.4,,,Non,0.0,0.0,0.0,850.0,0.0,0.0,7,0.5434004255487899
Glass Fiber Fabric (S-Glass),2.48,1200.0,0.75,1.1,2.5,,,Non,0.0,0.0,0.0,950.0,0.0,0.0,7,0.5501136404847877
Glass Fiber Reinforced Concrete (GFRC),2.1,,1.0,0.9,9.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,6,0.5866638687570019
Glass Fiber Reinforced Gypsum (GFRG),1.85,,1.05,0.45,13.0,,,Non,0.0,0.0,0.0,150.0,0.0,0.0,6,0.5533540482381525
Glass Fiber Reinforced PA66,1.35,263.0,1.3,0.4,25.0,400.0,450.0,HB,24.0,50.0,25.0,420.0,28.0,80.0,9,0.5335692071936252
Glass Fiber Reinforced PP,1.12,165.0,1.5,0.3,35.0,330.0,360.0,HB,22.0,45.0,15.0,350.0,35.0,100.0,9,0.49961178509103976
Glass Fiber/Phenolic,1.9,,1.1,0.55,15.0,550.0,580.0,V-0,55.0,2.0,65.0,480.0,18.0,2.0,8,0.6998196585456476
Glass Fiber/Silicone,1.95,,1.05,0.6,12.0,500.0,550.0,V-0,45.0,15.0,58.0,500.0,18.0,5.0,8,0.6729059031347108
Glass Wool (Fiberglass),0.02,600.0,0.8,0.035,0.0,,,Non,0.0,0.0,0.0,600.0,0.0,0.0,7,0.5182317846130485
Glass-Ceramic (Macor),2.52,1000.0,0.79,1.48,9.3,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Glass-Ceramic (Zerodur),2.53,800.0,0.82,1.43,0.05,,,Non,0.0,0.0,0.0,800.0,0.0,0.0,7,0.5316582144850441
Glulam (Sitka Spruce),0.48,,1.65,0.12,3.5,250.0,350.0,HB,23.0,50.0,22.0,300.0,18.0,90.0,8,0.54204751511451
Glycerol,1.26,18.0,2.4,0.28,160.0,370.0,,,,20.0,290.0,18.1,,,5,0.4864974633988819
Glycerol Trinitrate (NG),1.59,13.0,1.35,0.25,,,270.0,,,100.0,5.0,250.0,5.0,,6,0.4415365157052034
Gneiss,2.75,,0.78,2.4,7.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Gold,19.3,1064.0,0.13,317.0,14.2,,,Non,0.0,0.0,0.0,1064.0,0.0,0.0,7,0.5493811019160784
Gold (14K Yellow),13.2,880.0,0.15,100.0,15.5,,,Non,0.0,0.0,0.0,880.0,0.0,0.0,7,0.5370287864338424
Gold (18k Yellow),15.5,910.0,0.13,300.0,14.5,,,Non,0.0,0.0,0.0,910.0,0.0,0.0,7,0.5390427509146417
Gold (99.9%),19.3,1064.0,0.13,318.0,14.2,,,Non,0.0,0.0,0.0,1064.0,0.0,0.0,7,0.5493811019160784
Gold Silicide,15.5,363.0,0.15,45.0,15.5,,,Non,0.0,0.0,0.0,363.0,0.0,0.0,7,0.5023214652147336
Granite (Standard),2.65,1215.0,0.79,2.5,8.0,,,Non,0.0,0.0,0.0,1215.0,0.0,0.0,7,0.5595180564694352
Graphite,2.2,3650.0,0.71,150.0,2.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Graphite (Extruded),1.735,3650.0,0.71,150.0,2.5,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Graphite (Flexible Sheet),1.1,3650.0,0.71,150.0,1.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Graphite (Isostatic Pressed),1.85,3650.0,0.71,120.0,4.5,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Graphite (Isostatic),1.85,3650.0,0.71,120.0,3.5,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Graphite Foil,1.1,3650.0,0.71,150.0,1.0,,,Non,0.0,0.0,0.0,3650.0,0.0,0.0,7,0.7229848401609823
Greek Ascoloy,7.86,1425.0,0.46,24.0,11.0,,,Non,0.0,0.0,0.0,1425.0,0.0,0.0,7,0.5736158078350305
Guanidine Nitrate,1.44,214.0,1.3,0.2,,,,,,100.0,0.0,214.0,6.0,,5,0.4701125231112872
Gypsum Plaster (Set),1.15,,1.09,0.17,16.5,,,Non,0.0,0.0,0.0,150.0,0.0,0.0,6,0.5533540482381525
HDPE (Cross-linked/PEX),0.94,133.0,2.1,0.41,140.0,345.0,355.0,HB,18.0,20.0,2.0,350.0,43.2,115.0,9,0.4917155887941987
HMX,1.9,285.0,1.1,0.2,,,330.0,,,1000.0,2.0,280.0,10.0,,6,0.3273434685412903
Hafnium Boride (HfB2),10.5,3250.0,0.18,25.0,6.0,,,Non,0.0,0.0,0.0,3250.0,0.0,0.0,7,0.6961319804169911
Hafnium Carbide,12.199999999999998,3890.0,0.1166666666666666,20.0,6.099999999999999,,,Non,0.0,0.0,0.0,3890.0,0.0,0.0,7,0.7390965560073771
Hafnium Diboride,10.5,3250.0,0.16,25.0,6.15,,,Non,0.0,0.0,0.0,3250.0,0.0,0.0,7,0.6961319804169911
Hafnium Hydride,11.4,1000.0,0.15,12.0,6.5,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Hafnium Metal,13.3,2233.0,0.14,23.0,5.9,,,Non,0.0,0.0,0.0,2233.0,0.0,0.0,7,0.6278585845178931
Hafnium Nitride,13.5,3305.0,0.145,20.0,6.3,,,Non,0.0,0.0,0.0,3305.0,0.0,0.0,7,0.6998242486317899
Hafnium Oxide (HfO2),9.68,2758.0,0.12,1.1,5.9,,,Non,0.0,0.0,0.0,2758.0,0.0,0.0,7,0.6631029629318818
Hafnium Oxide (Monoclinic),9.68,2758.0,0.13,1.5,5.8,,,Non,0.0,0.0,0.0,2758.0,0.0,0.0,7,0.6631029629318818
Hafnium Silicide,8.02,2100.0,0.2,15.0,7.5,,,Non,0.0,0.0,0.0,2100.0,0.0,0.0,7,0.618930008653016
Hafnium Silicide (HfSi2),8.02,2100.0,0.2,15.0,7.5,,,Non,0.0,0.0,0.0,2100.0,0.0,0.0,7,0.618930008653016
Hafnium(IV) Bromide,5.25,424.0,0.12,0.2,50.0,,,Non,0.0,0.0,0.0,424.0,0.0,0.0,7,0.5064165263256923
Hafnium(IV) Chloride,3.89,432.0,0.15,0.15,55.0,,,Non,0.0,0.0,0.0,432.0,0.0,0.0,7,0.5069535835205722
Hafnium(IV) Iodide,5.65,449.0,0.1,0.25,45.0,,,Non,0.0,0.0,0.0,449.0,0.0,0.0,7,0.5080948300596917
Hafnium-Zirconium,13.1,2230.0,0.14,23.0,6.0,,,Non,0.0,0.0,0.0,2230.0,0.0,0.0,7,0.6276571880698132
Halar (ECTFE),1.68,240.0,1.1,0.15,80.0,450.0,480.0,V-0,52.0,12.0,20.0,440.0,16.0,5.0,9,0.5952421928001344
Hardboard (Tempered),1.05,,1.35,0.18,6.0,220.0,330.0,HB,28.0,150.0,35.0,250.0,21.0,200.0,8,0.5029798002160245
HardiePlank (Fiber Cement),1.45,,1.05,0.24,8.5,,,Non,0.0,0.0,0.0,500.0,0.0,0.0,6,0.5670698566870905
Hardwood Charcoal,0.45,,1.2,0.08,,,250.0,HB,25.0,50.0,85.0,450.0,30.0,100.0,7,0.5444808153118895
Hastelloy B-3,9.22,1370.0,0.38,11.2,10.6,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0,7,0.5699235396202318
Hastelloy C-276,8.89,1370.0,0.42,10.2,11.2,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0,7,0.5699235396202318
Hastelloy X,8.22,1260.0,0.48,9.1,13.8,,,Non,0.0,0.0,0.0,1260.0,0.0,0.0,7,0.5625390031906342
Haynes 188,8.98,1330.0,0.4,10.8,11.9,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0,7,0.5672382536458327
Haynes 188 (Sheet),8.98,1330.0,0.4,10.8,11.9,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0,7,0.5672382536458327
Haynes 214,8.05,1355.0,0.45,11.8,13.3,,,Non,0.0,0.0,0.0,1355.0,0.0,0.0,7,0.568916557379832
Haynes 230,8.97,1300.0,0.4,8.9,12.7,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,7,0.5652242891650333
Haynes 25,9.13,1370.0,0.4,9.8,12.3,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0,7,0.5699235396202318
Heavy Concrete (Barite),3.5,,0.65,1.8,9.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Heavy Concrete (Magnetite),3.8,,0.62,2.2,10.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,6,0.5945014735849665
Heavy Fuel Oil (No. 6),0.98,,1.8,0.13,,65.0,400.0,HB,16.0,600.0,10.0,350.0,40.0,350.0,8,0.3868462204749868
Hemp Fiber,1.5,,1.45,0.15,,260.0,370.0,HB,24.0,110.0,28.0,300.0,19.0,120.0,8,0.5345785320002797
Hempcrete,0.45,,1.5,0.08,,,,B-1,40.0,30.0,45.0,250.0,12.0,20.0,6,0.6231436642640542
Heptane (n),0.68,-91.0,2.25,0.13,-4.0,223.0,,,,0.0,,44.6,,,4,0.38006829986684176
Hexane (n),0.66,-95.0,2.25,0.12,-22.0,225.0,,,,0.0,,44.7,,,4,0.3803559100954016
High Alumina Brick,2.8,1800.0,0.9,2.0,5.5,,,Non,0.0,0.0,0.0,1800.0,0.0,0.0,7,0.5987903638450225
High Pressure Laminate (HPL),1.4,,1.35,0.25,20.0,,400.0,HB,25.0,250.0,30.0,280.0,22.0,100.0,7,0.5291443866875171
Holmium (Pure),8.8,1474.0,0.16,16.0,11.2,,,Non,0.0,0.0,0.0,1474.0,0.0,0.0,7,0.5769052831536695
Holmium Boride (HoB6),5.95,2030.0,0.42,38.0,7.2,,,Non,0.0,0.0,0.0,2030.0,0.0,0.0,7,0.6142307581978175
Holmium Hexaboride (HoB6),5.85,2295.0,0.4,25.0,8.8,,,Non,0.0,0.0,0.0,2295.0,0.0,0.0,7,0.6320207777782118
Holmium Hydride,8.1,1000.0,0.25,4.7,10.8,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Holmium Iron Garnet (HoIG),6.75,1515.0,0.35,5.1,10.4,,,Non,0.0,0.0,0.0,1515.0,0.0,0.0,7,0.5796577012774285
Holmium Oxide (Ho2O3),8.41,2415.0,0.3,11.0,9.2,,,Non,0.0,0.0,0.0,2415.0,0.0,0.0,7,0.6400766357014092
Holmium Silicide,8.05,1150.0,0.22,12.0,10.0,,,Non,0.0,0.0,0.0,1150.0,0.0,0.0,7,0.5551544667610365
Hydrazine,1.02,2.0,3.1,0.5,52.0,270.0,,,,0.0,113.0,19.4,,,5,0.41351006019780295
Hydrazine (Anhydrous),1.01,2.0,3.1,0.5,,52.0,270.0,HB,25.0,,0.0,113.0,19.4,,7,0.3336387325794131
Hydrogen,0.0001,-259.0,14.3,0.18,,500.0,,,,0.0,,120.0,,,4,0.4461782517668046
Hydrogen (Liquid),0.07,-259.0,14.3,0.18,,-253.0,500.0,HB,5.0,,0.0,-253.0,120.0,,7,0.27324115117160463
Hydrogen Chloride,0.001,-114.0,0.8,0.14,,,,,,0.0,-85.0,0.0,,,4,0.2965220295754517
Hydrogen Cyanide,0.69,-13.0,2.65,0.15,-18.0,538.0,,,,0.0,26.0,24.5,,,5,0.44122990102994225
Hydrogen Fluoride,0.99,-83.0,2.5,0.12,,,,,,0.0,20.0,0.0,,,4,0.33935733055572875
Hydrogen Peroxide,1.45,-0.4,2.6,0.52,,,,,,0.0,150.0,0.0,,,4,0.39498713655478956
Hydrogen Sulfide,0.001,-85.0,1.0,0.15,,260.0,,,,0.0,-60.0,15.2,,,5,0.3530984707818111
Hydroquinone,1.33,172.0,1.35,0.15,165.0,516.0,,,,35.0,285.0,25.5,,,5,0.5199226339092375
Hydroxyapatite,3.16,,0.8,1.2,11.5,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,6,0.5905826711709842
Hypalon (CSPE),1.2,,1.55,0.19,160.0,,430.0,V-0,30.0,350.0,25.0,280.0,25.0,50.0,7,0.5416973720125835
Incoloy 800H,7.94,1350.0,0.46,11.0,14.4,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0,7,0.5685808966330322
Incoloy 825,8.14,1370.0,0.44,11.0,14.0,,,Non,0.0,0.0,0.0,1370.0,0.0,0.0,7,0.5699235396202318
Incoloy 901,8.14,1360.0,0.44,12.0,14.0,,,Non,0.0,0.0,0.0,1360.0,0.0,0.0,7,0.569252218126632
Incoloy 903,8.14,1400.0,0.44,15.0,7.5,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0,7,0.5719375041010312
Incoloy 907,8.2,1400.0,0.44,16.0,8.0,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0,7,0.5719375041010312
Incoloy 909,8.28,1400.0,0.44,17.0,7.7,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0,7,0.5719375041010312
Inconel 600,8.47,1354.0,0.44,14.8,13.3,,,Non,0.0,0.0,0.0,1354.0,0.0,0.0,7,0.5688494252304721
Inconel 617,8.36,1330.0,0.42,13.4,11.6,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0,7,0.5672382536458327
Inconel 625,8.44,1290.0,0.41,9.8,12.8,,,Non,0.0,0.0,0.0,1290.0,0.0,0.0,7,0.5645529676714335
Inconel 690,8.19,1345.0,0.45,12.1,14.1,,,Non,0.0,0.0,0.0,1345.0,0.0,0.0,7,0.5682452358862323
Inconel 718,8.19,1300.0,0.43,11.4,13.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,7,0.5652242891650333
Inconel X-750,8.28,1393.0,0.43,12.0,12.6,,,Non,0.0,0.0,0.0,1393.0,0.0,0.0,7,0.5714675790555113
Indium,7.31,156.0,0.23,81.0,33.0,,,Non,0.0,0.0,0.0,156.0,0.0,0.0,7,0.4884251102972181
Indium (Metal),7.31,157.0,0.23,82.0,33.0,,,Non,0.0,0.0,0.0,157.0,0.0,0.0,7,0.488492242446578
Indium Antimonide,5.78,527.0,0.2,18.0,5.15,,,Non,0.0,0.0,0.0,527.0,0.0,0.0,7,0.51333113770977
Indium Antimonide Crystal,5.78,527.0,0.2,18.0,5.3,,,Non,0.0,0.0,0.0,527.0,0.0,0.0,7,0.51333113770977
Indium Arsenide,5.67,942.0,0.25,27.0,4.5,,,Non,0.0,0.0,0.0,942.0,0.0,0.0,7,0.5411909796941611
Indium Hydride,6.85,,0.35,1.2,18.0,,,Non,0.0,0.0,0.0,-20.0,0.0,0.0,6,0.5466920841343826
Indium Oxide (In2O3),7.18,1910.0,0.35,12.0,10.2,,,Non,0.0,0.0,0.0,1910.0,0.0,0.0,7,0.6061749002746202
Indium Silicide,6.25,,0.35,6.0,15.5,,,Non,0.0,0.0,0.0,300.0,0.0,0.0,6,0.559232251859126
Invar 36,8.05,1425.0,0.51,10.1,1.3,,,Non,0.0,0.0,0.0,1425.0,0.0,0.0,7,0.5736158078350305
Ionomer (Surlyn),0.94,95.0,2.1,0.24,150.0,320.0,360.0,HB,17.5,50.0,0.0,300.0,41.0,150.0,9,0.47568812936929966
Ionomer (Zinc Grade),0.96,90.0,2.15,0.25,145.0,315.0,355.0,HB,17.8,55.0,0.0,305.0,40.5,155.0,9,0.4731297869691966
Ionomer Resin (Surlyn),0.95,95.0,2.2,0.25,150.0,,350.0,HB,18.0,350.0,2.0,280.0,43.0,200.0,8,0.41281598945741393
Iridium,22.6,2446.0,0.13,147.0,6.4,,,Non,0.0,0.0,0.0,2446.0,0.0,0.0,7,0.6421577323315685
Iridium (Pure),22.6,2447.0,0.13,147.0,6.4,,,Non,0.0,0.0,0.0,2447.0,0.0,0.0,7,0.6422248644809284
Iridium Oxide (IrO2),11.66,1100.0,0.25,15.0,6.5,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0,7,0.5517978592930376
Iridium Silicide,12.5,1700.0,0.2,18.0,6.5,,,Non,0.0,0.0,0.0,1700.0,0.0,0.0,7,0.5920771489090246
Iridium-Rhodium (60/40),18.5,2250.0,0.18,120.0,7.0,,,Non,0.0,0.0,0.0,2250.0,0.0,0.0,7,0.6289998310570127
Iron (Pure),7.87,1538.0,0.45,80.0,11.8,,,Non,0.0,0.0,0.0,1538.0,0.0,0.0,7,0.5812017407127081
Iron (Pure/Armco),7.87,1538.0,0.45,80.0,11.8,,,Non,0.0,0.0,0.0,1538.0,0.0,0.0,7,0.5812017407127081
Iron Alumino Silicate (Almandine),4.31,1315.0,0.6,6.0,8.5,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0,7,0.566231271405433
Iron Boride (Fe2B),7.43,1389.0,0.42,22.0,12.0,,,Non,0.0,0.0,0.0,1389.0,0.0,0.0,7,0.5711990504580714
Iron Boride (FeB),7.15,1658.0,0.45,20.0,11.5,,,Non,0.0,0.0,0.0,1658.0,0.0,0.0,7,0.5892575986359055
Iron Diboride (FeB2),5.15,1420.0,0.6,12.0,12.0,,,Non,0.0,0.0,0.0,1420.0,0.0,0.0,7,0.5732801470882307
Iron Oxide (Fe2O3),5.24,1565.0,0.65,7.0,12.5,,,Non,0.0,0.0,0.0,1565.0,0.0,0.0,7,0.5830143087454276
Iron Oxide (Fe3O4),5.17,1595.0,0.6,6.0,12.0,,,Non,0.0,0.0,0.0,1595.0,0.0,0.0,7,0.5850282732262269
Iron Powder (Reduced),7.87,1538.0,0.45,80.0,11.8,,315.0,Non,0.0,0.0,0.0,1538.0,7.5,0.0,8,0.5564842217691063
Iron Silicide,4.75,1220.0,0.55,15.0,12.5,,,Non,0.0,0.0,0.0,1220.0,0.0,0.0,7,0.559853717216235
Iron Silicide (FeSi2),4.75,1220.0,0.55,15.0,12.5,,,Non,0.0,0.0,0.0,1220.0,0.0,0.0,7,0.559853717216235
Iron Stannate (FeSnO3),6.45,1550.0,0.5,2.4,12.0,,,Non,0.0,0.0,0.0,1550.0,0.0,0.0,7,0.582007326505028
Iron Titanate (FeTiO3),4.72,1365.0,0.6,3.2,12.0,,,Non,0.0,0.0,0.0,1365.0,0.0,0.0,7,0.5695878788734319
Iron(II,,5.17,1597.0,0.6,6.0,12.0,,,,0.0,0.0,0.0,1597.0,0.0,7,0.37437738507635193
Iron(II) Bromide,4.64,684.0,0.45,2.0,14.0,,,Non,0.0,0.0,0.0,684.0,0.0,0.0,7,0.5238708851592867
Iron(II) Carbonate (Siderite),3.96,,0.65,2.5,12.0,,,Non,0.0,0.0,0.0,490.0,0.0,0.0,6,0.5666779764456923
Iron(II) Chloride,3.16,677.0,0.55,2.5,12.0,,,Non,0.0,0.0,0.0,677.0,0.0,0.0,7,0.5234009601137668
Iron(II) Iodide,5.33,592.0,0.35,1.5,18.0,,,Non,0.0,0.0,0.0,592.0,0.0,0.0,7,0.5176947274181687
Iron(III) Chloride,2.9,306.0,0.65,0.5,45.0,,,Non,0.0,0.0,0.0,306.0,0.0,0.0,7,0.49849493270121487
Iron(III) Oxide (Hematite),5.24,1565.0,0.65,7.0,12.5,,,Non,0.0,0.0,0.0,1565.0,0.0,0.0,7,0.5830143087454276
Iron-Nickel-Cobalt,8.35,1450.0,0.44,17.3,5.1,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Isobutane,0.56,-160.0,2.35,0.14,-83.0,460.0,,,,0.0,,45.6,,,4,0.43728551305225616
Isobutylene,0.59,-140.0,1.55,0.14,-80.0,465.0,,,,0.0,,45.0,,,4,0.43971555064798445
Isooctane,0.69,-107.0,2.1,0.13,-12.0,417.0,,,,0.0,,44.3,,,4,0.42921478343837915
Isopentane,0.62,-160.0,2.25,0.12,-51.0,420.0,,,,0.0,,45.1,,,4,0.4269255435217546
Isoprene,0.68,-146.0,1.55,0.15,-48.0,220.0,,,,5.0,,44.5,,,4,0.37491027383160497
Isoprene Rubber (IR),0.92,,2.0,0.15,240.0,,300.0,HB,17.0,650.0,5.0,220.0,44.0,300.0,7,0.3796912403213831
Isopropanol,0.78,-89.0,2.6,0.14,12.0,399.0,,,,0.0,,30.5,,,4,0.42481141706117037
Isopropyl Nitrate,1.04,-82.0,1.9,0.15,,18.0,,HB,18.0,,0.0,102.0,14.0,,6,0.31374529724246486
Jet Fuel (Jet A),0.82,,2.1,0.12,,38.0,210.0,HB,15.0,730.0,1.0,250.0,43.2,440.0,8,0.308476604521303
Jute Fiber,1.48,,1.5,0.13,,255.0,360.0,HB,23.0,130.0,26.0,290.0,18.5,140.0,8,0.5230949405822285
Kanthal A-1,7.1,1500.0,0.46,11.0,14.0,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0,7,0.5786507190370289
Kanthal D,7.25,1300.0,0.46,11.0,14.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0,7,0.5652242891650333
Kerosene,0.81,,2.15,0.11,,38.0,210.0,HB,15.0,750.0,1.0,250.0,43.5,450.0,8,0.30365532887579116
Kevlar 149,1.47,,1.42,0.04,-1.0,,480.0,V-0,30.0,15.0,38.0,500.0,30.0,10.0,7,0.6163550444313716
Kevlar 29 (Aramid),1.44,,1.4,0.04,-2.0,,450.0,V-0,29.0,15.0,35.0,500.0,30.0,10.0,7,0.6086177324012964
Kevlar 49,1.44,,1.42,0.04,-2.0,,450.0,V-0,29.0,10.0,35.0,500.0,30.0,10.0,7,0.6092742450063383
Kovar,8.35,1450.0,0.44,17.3,5.1,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0,7,0.5752941115690301
Kynar (PVDF Grade),1.77,175.0,1.35,0.2,110.0,445.0,470.0,V-0,43.0,22.0,22.0,460.0,14.0,10.0,9,0.5803870541380984
L-605 (Haynes 25),9.13,1330.0,0.4,9.5,12.3,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0,7,0.5672382536458327
L-605 Cobalt Alloy,9.13,1330.0,0.4,9.5,12.3,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0,7,0.5672382536458327
LCP (40% Carbon Fiber),1.5,340.0,0.95,1.2,2.0,550.0,570.0,V-0,50.0,5.0,60.0,550.0,23.0,5.0,9,0.6303112182168653
LCP (Vectra),1.61,330.0,1.05,0.45,5.0,540.0,560.0,V-0,45.0,5.0,50.0,540.0,24.0,5.0,9,0.6198180073523285
LCP (Zenite 6130),1.67,335.0,0.95,0.4,8.0,545.0,565.0,V-0,48.0,5.0,52.0,545.0,23.5,5.0,9,0.625099335006819
LVL (Laminated Veneer Lumber),0.62,,1.6,0.14,4.0,255.0,360.0,HB,24.0,65.0,24.0,290.0,18.8,100.0,8,0.5413986649367167
Laminated Glass (PVB),2.45,,0.95,0.8,15.0,,,V-0,28.0,150.0,10.0,250.0,15.0,50.0,6,0.5653336409513479
Lanthanum (Pure),6.15,918.0,0.19,13.0,12.1,,,Non,0.0,0.0,0.0,918.0,0.0,0.0,7,0.5395798081095216
Lanthanum Boride (LaB6),4.72,2210.0,0.6,45.0,6.4,,,Non,0.0,0.0,0.0,2210.0,0.0,0.0,7,0.6263145450826135
Lanthanum Bromide (Ce doped),5.06,783.0,0.28,1.5,18.0,,,Non,0.0,0.0,0.0,783.0,0.0,0.0,7,0.5305169679459245
Lanthanum Carbonate,2.6,,0.45,1.5,15.0,,,Non,0.0,0.0,0.0,400.0,0.0,0.0,6,0.5631510542731082
Lanthanum Chloride (Ce doped),3.84,858.0,0.35,1.2,15.0,,,Non,0.0,0.0,0.0,858.0,0.0,0.0,7,0.5355518791479229
Lanthanum Chromite (LaCrO3),6.5,2490.0,0.55,4.5,9.5,,,Non,0.0,0.0,0.0,2490.0,0.0,0.0,7,0.6451115469034076
Lanthanum Hafnate (La2Hf2O7),7.85,2450.0,0.35,1.4,8.5,,,Non,0.0,0.0,0.0,2450.0,0.0,0.0,7,0.6424262609290085
Lanthanum Hexaboride (LaB6),4.72,2210.0,0.6,45.0,6.4,,,Non,0.0,0.0,0.0,2210.0,0.0,0.0,7,0.6263145450826135
Lanthanum Hexaboride (Polycryst),4.72,2210.0,0.6,45.0,6.4,,,Non,0.0,0.0,0.0,2210.0,0.0,0.0,7,0.6263145450826135
Lanthanum Hydride,5.3,1000.0,0.35,6.0,12.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0,7,0.5450846443570397
Lanthanum Oxide,6.51,2315.0,0.45,15.0,12.1,,,Non,0.0,0.0,0.0,2315.0,0.0,0.0,7,0.6333634207654113
Lanthanum Silicide,5.55,1600.0,0.35,12.0,11.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0,7,0.5853639339730269
Lanthanum Zirconate (La2Zr2O7),6.05,2300.0,0.45,1.5,9.0,,,Non,0.0,0.0,0.0,2300.0,0.0,0.0,7,0.6323564385250117
Lard,0.92,35.0,2.1,0.17,,250.0,,HB,15.0,700.0,2.0,250.0,40.0,450.0,8,0.3146238969862056
Lawrencium Boride (LrB4),8.35,1500.0,0.2,2.0,19.5,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0,7,0.5786507190370289
Lead,11.3,327.0,0.13,35.0,28.9,,,Non,0.0,0.0,0.0,327.0,0.0,0.0,7,0.4999047078377744
Lead (99.9%),11.3,327.0,0.13,35.0,28.0,,,Non,0.0,0.0,0.0,327.0,0.0,0.0,7,0.4999047078377744
Lead (Sheet),11.34,327.0,0.13,35.0,29.0,,,Non,0.0,0.0,0.0,327.0,0.0,0.0,7,0.4999047078377744
Lead Azide,4.71,,0.45,0.15,,,330.0,,,1000.0,0.0,330.0,2.0,,5,0.36999441942608385
Lead Bromide,6.66,373.0,0.15,0.8,32.0,,,Non,0.0,0.0,0.0,373.0,0.0,0.0,7,0.5029927867083334
Lead Carbonate,6.6,,0.25,1.2,25.0,,,Non,0.0,0.0,0.0,315.0,0.0,0.0,6,0.5598200722212233
Lead Chloride,5.85,501.0,0.2,1.0,30.0,,,Non,0.0,0.0,0.0,501.0,0.0,0.0,7,0.5115857018264106
Lead Chromite (PbCrO4),6.12,844.0,0.3,1.5,15.0,,,Non,0.0,0.0,0.0,844.0,0.0,0.0,7,0.5346120290568832
Lead Hafnate (PbHfO3),9.5,1650.0,0.2,1.8,9.5,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0,7,0.5887205414410257
Lead Hydride (Plumbane),0.008,-135.0,0.25,,,,,,0.0,-13.0,30.5,,,,4,0.3285218105387553
Lead Iodide,6.16,402.0,0.15,0.7,28.0,,,Non,0.0,0.0,0.0,402.0,0.0,0.0,7,0.5049396190397728
Lead Molybdate,6.95,1060.0,0.25,1.5,15.0,,,Non,0.0,0.0,0.0,1060.0,0.0,0.0,7,0.5491125733186385
Lead Selenide,8.1,1078.0,0.15,1.5,19.0,,,Non,0.0,0.0,0.0,1078.0,0.0,0.0,7,0.5503209520071181
Lead Silicide,10.2,,0.15,12.0,18.5,,,Non,0.0,0.0,0.0,450.0,0.0,0.0,6,0.5651104554800993
Lead Stannate (PbSnO3),8.95,1200.0,0.2,2.0,11.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0,7,0.5585110742290355
Lead Styphnate,3.0,,0.55,0.12,,,282.0,,,1000.0,0.0,282.0,3.5,,5,0.35491775806534365
Lead Telluride,8.16,924.0,0.15,2.0,18.0,,,Non,0.0,0.0,0.0,924.0,0.0,0.0,7,0.5399826010056815
