Material Name,Density (g/cc),Melting Point (°C),Specific Heat (J/g-°C),Thermal Cond. (W/m-K),CTE (µm/m-°C),Flash Point (°C),Autoignition Temp (°C),UL94 Flammability,Limiting Oxygen Index (%),Smoke Density (Ds),Char Yield (%),Decomp. Temp (°C),Heat of Combustion (MJ/kg),Flame Spread Index
Indium Arsenide,5.67,942.0,0.25,27.0,4.5,,,Non,0.0,0.0,0.0,942.0,0.0,0.0
Indium Hydride,6.85,,0.35,1.2,18.0,,,Non,0.0,0.0,0.0,-20.0,0.0,0.0
Indium Oxide (In2O3),7.18,1910.0,0.35,12.0,10.2,,,Non,0.0,0.0,0.0,1910.0,0.0,0.0
Indium Silicide,6.25,,0.35,6.0,15.5,,,Non,0.0,0.0,0.0,300.0,0.0,0.0
Invar 36,8.05,1425.0,0.51,10.1,1.3,,,Non,0.0,0.0,0.0,1425.0,0.0,0.0
Ionomer (Surlyn),0.94,95.0,2.1,0.24,150.0,320.0,360.0,HB,17.5,50.0,0.0,300.0,41.0,150.0
Ionomer (Zinc Grade),0.96,90.0,2.15,0.25,145.0,315.0,355.0,HB,17.8,55.0,0.0,305.0,40.5,155.0
Ionomer Resin (Surlyn),0.95,95.0,2.2,0.25,150.0,,350.0,HB,18.0,350.0,2.0,280.0,43.0,200.0
Iridium,22.6,2446.0,0.13,147.0,6.4,,,Non,0.0,0.0,0.0,2446.0,0.0,0.0
Iridium (Pure),22.6,2447.0,0.13,147.0,6.4,,,Non,0.0,0.0,0.0,2447.0,0.0,0.0
Iridium Oxide (IrO2),11.66,1100.0,0.25,15.0,6.5,,,Non,0.0,0.0,0.0,1100.0,0.0,0.0
Iridium Silicide,12.5,1700.0,0.2,18.0,6.5,,,Non,0.0,0.0,0.0,1700.0,0.0,0.0
Iridium-Rhodium (60/40),18.5,2250.0,0.18,120.0,7.0,,,Non,0.0,0.0,0.0,2250.0,0.0,0.0
Iron (Pure),7.87,1538.0,0.45,80.0,11.8,,,Non,0.0,0.0,0.0,1538.0,0.0,0.0
Iron (Pure/Armco),7.87,1538.0,0.45,80.0,11.8,,,Non,0.0,0.0,0.0,1538.0,0.0,0.0
Iron Alumino Silicate (Almandine),4.31,1315.0,0.6,6.0,8.5,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0
Iron Boride (Fe2B),7.43,1389.0,0.42,22.0,12.0,,,Non,0.0,0.0,0.0,1389.0,0.0,0.0
Iron Boride (FeB),7.15,1658.0,0.45,20.0,11.5,,,Non,0.0,0.0,0.0,1658.0,0.0,0.0
Iron Diboride (FeB2),5.15,1420.0,0.6,12.0,12.0,,,Non,0.0,0.0,0.0,1420.0,0.0,0.0
Iron Oxide (Fe2O3),5.24,1565.0,0.65,7.0,12.5,,,Non,0.0,0.0,0.0,1565.0,0.0,0.0
Iron Oxide (Fe3O4),5.17,1595.0,0.6,6.0,12.0,,,Non,0.0,0.0,0.0,1595.0,0.0,0.0
Iron Powder (Reduced),7.87,1538.0,0.45,80.0,11.8,,315.0,Non,0.0,0.0,0.0,1538.0,7.5,0.0
Iron Silicide,4.75,1220.0,0.55,15.0,12.5,,,Non,0.0,0.0,0.0,1220.0,0.0,0.0
Iron Silicide (FeSi2),4.75,1220.0,0.55,15.0,12.5,,,Non,0.0,0.0,0.0,1220.0,0.0,0.0
Iron Stannate (FeSnO3),6.45,1550.0,0.5,2.4,12.0,,,Non,0.0,0.0,0.0,1550.0,0.0,0.0
Iron Titanate (FeTiO3),4.72,1365.0,0.6,3.2,12.0,,,Non,0.0,0.0,0.0,1365.0,0.0,0.0
Iron(II,,5.17,1597.0,0.6,6.0,12.0,,,,0.0,0.0,0.0,1597.0,0.0
Iron(II) Bromide,4.64,684.0,0.45,2.0,14.0,,,Non,0.0,0.0,0.0,684.0,0.0,0.0
Iron(II) Carbonate (Siderite),3.96,,0.65,2.5,12.0,,,Non,0.0,0.0,0.0,490.0,0.0,0.0
Iron(II) Chloride,3.16,677.0,0.55,2.5,12.0,,,Non,0.0,0.0,0.0,677.0,0.0,0.0
Iron(II) Iodide,5.33,592.0,0.35,1.5,18.0,,,Non,0.0,0.0,0.0,592.0,0.0,0.0
Iron(III) Chloride,2.9,306.0,0.65,0.5,45.0,,,Non,0.0,0.0,0.0,306.0,0.0,0.0
Iron(III) Oxide (Hematite),5.24,1565.0,0.65,7.0,12.5,,,Non,0.0,0.0,0.0,1565.0,0.0,0.0
Iron-Nickel-Cobalt,8.35,1450.0,0.44,17.3,5.1,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Isobutane,0.56,-160.0,2.35,0.14,-83.0,460.0,,,,0.0,,45.6,,
Isobutylene,0.59,-140.0,1.55,0.14,-80.0,465.0,,,,0.0,,45.0,,
Isooctane,0.69,-107.0,2.1,0.13,-12.0,417.0,,,,0.0,,44.3,,
Isopentane,0.62,-160.0,2.25,0.12,-51.0,420.0,,,,0.0,,45.1,,
Isoprene,0.68,-146.0,1.55,0.15,-48.0,220.0,,,,5.0,,44.5,,
Isoprene Rubber (IR),0.92,,2.0,0.15,240.0,,300.0,HB,17.0,650.0,5.0,220.0,44.0,300.0
Isopropanol,0.78,-89.0,2.6,0.14,12.0,399.0,,,,0.0,,30.5,,
Isopropyl Nitrate,1.04,-82.0,1.9,0.15,,18.0,,HB,18.0,,0.0,102.0,14.0,
Jet Fuel (Jet A),0.82,,2.1,0.12,,38.0,210.0,HB,15.0,730.0,1.0,250.0,43.2,440.0
Jute Fiber,1.48,,1.5,0.13,,255.0,360.0,HB,23.0,130.0,26.0,290.0,18.5,140.0
Kanthal A-1,7.1,1500.0,0.46,11.0,14.0,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0
Kanthal D,7.25,1300.0,0.46,11.0,14.0,,,Non,0.0,0.0,0.0,1300.0,0.0,0.0
Kerosene,0.81,,2.15,0.11,,38.0,210.0,HB,15.0,750.0,1.0,250.0,43.5,450.0
Kevlar 149,1.47,,1.42,0.04,-1.0,,480.0,V-0,30.0,15.0,38.0,500.0,30.0,10.0
Kevlar 29 (Aramid),1.44,,1.4,0.04,-2.0,,450.0,V-0,29.0,15.0,35.0,500.0,30.0,10.0
Kevlar 49,1.44,,1.42,0.04,-2.0,,450.0,V-0,29.0,10.0,35.0,500.0,30.0,10.0
Kovar,8.35,1450.0,0.44,17.3,5.1,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Krypton (Liquid),2.41,-157.0,0.25,0.1,,,,,,0.0,,0.0,,
Kynar (PVDF Grade),1.77,175.0,1.35,0.2,110.0,445.0,470.0,V-0,43.0,22.0,22.0,460.0,14.0,10.0
L-605 (Haynes 25),9.13,1330.0,0.4,9.5,12.3,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0
L-605 Cobalt Alloy,9.13,1330.0,0.4,9.5,12.3,,,Non,0.0,0.0,0.0,1330.0,0.0,0.0
LCP (40% Carbon Fiber),1.5,340.0,0.95,1.2,2.0,550.0,570.0,V-0,50.0,5.0,60.0,550.0,23.0,5.0
LCP (Vectra),1.61,330.0,1.05,0.45,5.0,540.0,560.0,V-0,45.0,5.0,50.0,540.0,24.0,5.0
LCP (Zenite 6130),1.67,335.0,0.95,0.4,8.0,545.0,565.0,V-0,48.0,5.0,52.0,545.0,23.5,5.0
LVL (Laminated Veneer Lumber),0.62,,1.6,0.14,4.0,255.0,360.0,HB,24.0,65.0,24.0,290.0,18.8,100.0
Laminated Glass (PVB),2.45,,0.95,0.8,15.0,,,V-0,28.0,150.0,10.0,250.0,15.0,50.0
Lanthanum (Pure),6.15,918.0,0.19,13.0,12.1,,,Non,0.0,0.0,0.0,918.0,0.0,0.0
Lanthanum Boride (LaB6),4.72,2210.0,0.6,45.0,6.4,,,Non,0.0,0.0,0.0,2210.0,0.0,0.0
Lanthanum Bromide (Ce doped),5.06,783.0,0.28,1.5,18.0,,,Non,0.0,0.0,0.0,783.0,0.0,0.0
Lanthanum Carbonate,2.6,,0.45,1.5,15.0,,,Non,0.0,0.0,0.0,400.0,0.0,0.0
Lanthanum Chloride (Ce doped),3.84,858.0,0.35,1.2,15.0,,,Non,0.0,0.0,0.0,858.0,0.0,0.0
Lanthanum Chromite (LaCrO3),6.5,2490.0,0.55,4.5,9.5,,,Non,0.0,0.0,0.0,2490.0,0.0,0.0
Lanthanum Hafnate (La2Hf2O7),7.85,2450.0,0.35,1.4,8.5,,,Non,0.0,0.0,0.0,2450.0,0.0,0.0
Lanthanum Hexaboride (LaB6),4.72,2210.0,0.6,45.0,6.4,,,Non,0.0,0.0,0.0,2210.0,0.0,0.0
Lanthanum Hexaboride (Polycryst),4.72,2210.0,0.6,45.0,6.4,,,Non,0.0,0.0,0.0,2210.0,0.0,0.0
Lanthanum Hydride,5.3,1000.0,0.35,6.0,12.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Lanthanum Oxide,6.51,2315.0,0.45,15.0,12.1,,,Non,0.0,0.0,0.0,2315.0,0.0,0.0
Lanthanum Silicide,5.55,1600.0,0.35,12.0,11.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0
Lanthanum Zirconate (La2Zr2O7),6.05,2300.0,0.45,1.5,9.0,,,Non,0.0,0.0,0.0,2300.0,0.0,0.0
Lard,0.92,35.0,2.1,0.17,,250.0,,HB,15.0,700.0,2.0,250.0,40.0,450.0
Lawrencium Boride (LrB4),8.35,1500.0,0.2,2.0,19.5,,,Non,0.0,0.0,0.0,1500.0,0.0,0.0
Lead,11.3,327.0,0.13,35.0,28.9,,,Non,0.0,0.0,0.0,327.0,0.0,0.0
Lead (99.9%),11.3,327.0,0.13,35.0,28.0,,,Non,0.0,0.0,0.0,327.0,0.0,0.0
Lead (Sheet),11.34,327.0,0.13,35.0,29.0,,,Non,0.0,0.0,0.0,327.0,0.0,0.0
Lead Azide,4.71,,0.45,0.15,,,330.0,,,1000.0,0.0,330.0,2.0,
Lead Bromide,6.66,373.0,0.15,0.8,32.0,,,Non,0.0,0.0,0.0,373.0,0.0,0.0
Lead Carbonate,6.6,,0.25,1.2,25.0,,,Non,0.0,0.0,0.0,315.0,0.0,0.0
Lead Chloride,5.85,501.0,0.2,1.0,30.0,,,Non,0.0,0.0,0.0,501.0,0.0,0.0
Lead Chromite (PbCrO4),6.12,844.0,0.3,1.5,15.0,,,Non,0.0,0.0,0.0,844.0,0.0,0.0
Lead Hafnate (PbHfO3),9.5,1650.0,0.2,1.8,9.5,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Lead Hydride (Plumbane),0.008,-135.0,0.25,,,,,,0.0,-13.0,30.5,,,
Lead Iodide,6.16,402.0,0.15,0.7,28.0,,,Non,0.0,0.0,0.0,402.0,0.0,0.0
Lead Molybdate,6.95,1060.0,0.25,1.5,15.0,,,Non,0.0,0.0,0.0,1060.0,0.0,0.0
Lead Selenide,8.1,1078.0,0.15,1.5,19.0,,,Non,0.0,0.0,0.0,1078.0,0.0,0.0
Lead Silicide,10.2,,0.15,12.0,18.5,,,Non,0.0,0.0,0.0,450.0,0.0,0.0
Lead Stannate (PbSnO3),8.95,1200.0,0.2,2.0,11.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Lead Styphnate,3.0,,0.55,0.12,,,282.0,,,1000.0,0.0,282.0,3.5,
Lead Telluride,8.16,924.0,0.15,2.0,18.0,,,Non,0.0,0.0,0.0,924.0,0.0,0.0
Lead Titanate (PbTiO3),7.52,1281.0,0.35,2.5,12.5,,,Non,0.0,0.0,0.0,1281.0,0.0,0.0
Lead Tungstate (PWO) Crystal,8.28,1123.0,0.25,2.0,10.0,,,Non,0.0,0.0,0.0,1123.0,0.0,0.0
Lead Zirconate (PbZrO3),8.25,1570.0,0.3,2.0,9.0,,,Non,0.0,0.0,0.0,1570.0,0.0,0.0
Lead Zirconate Titanate (PZT),7.5,1200.0,0.35,1.5,4.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Lead-Antimony Alloy,11.0,250.0,0.13,28.0,27.0,,,Non,0.0,0.0,0.0,250.0,0.0,0.0
Lead-Free Solder (SAC305),7.37,217.0,0.23,58.0,22.0,,,Non,0.0,0.0,0.0,217.0,0.0,0.0
Leather (Chrome Tanned),0.95,,1.5,0.15,,,,HB,28.0,100.0,35.0,250.0,20.0,80.0
Lignite Coal,1.1,,1.5,0.18,,,350.0,HB,19.0,500.0,45.0,400.0,22.0,250.0
Limestone (Dense),2.55,,0.9,1.8,7.5,,,Non,0.0,0.0,0.0,825.0,0.0,0.0
Linoleum Flooring,1.2,,1.5,0.17,120.0,,,HB,22.0,150.0,20.0,250.0,20.0,150.0
Linseed Oil (Raw),0.93,,1.85,0.15,,220.0,340.0,HB,16.0,600.0,5.0,300.0,38.0,350.0
Liquid Crystal Polymer (High Temp),1.7,350.0,1.0,0.5,4.0,550.0,570.0,V-0,52.0,5.0,55.0,560.0,23.0,5.0
Liquid Crystal Polymer (LCP),1.605,330.0,1.05,0.42500000000000004,5.0,540.0,550.0,V-0,45.0,27.5,50.0,540.0,28.0,5.0
Lithium,0.53,180.0,3.58,85.0,46.0,,179.0,HB,0.0,0.0,0.0,1342.0,43.0,300.0
Lithium (Metal),0.53,181.0,3.58,85.0,46.0,,179.0,Non,0.0,0.0,0.0,1342.0,0.0,0.0
Lithium Aluminate,2.61,1625.0,1.15,3.0,12.0,,,Non,0.0,0.0,0.0,1625.0,0.0,0.0
Lithium Alumino Silicate (Petalite),2.42,1350.0,1.1,1.4,0.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Lithium Alumino Silicate (Spodumene),2.64,1423.0,1.1,1.5,1.0,,,Non,0.0,0.0,0.0,1423.0,0.0,0.0
Lithium Aluminum Silicate,2.4,1350.0,0.8,1.5,0.5,,,Non,0.0,0.0,0.0,1350.0,0.0,0.0
Lithium Bromide,3.46,550.0,0.65,1.2,50.0,,,Non,0.0,0.0,0.0,550.0,0.0,0.0
Lithium Carbonate,2.11,723.0,1.35,0.6,35.0,,,Non,0.0,0.0,0.0,723.0,0.0,0.0
Lithium Chloride,2.07,605.0,1.15,1.5,45.0,,,Non,0.0,0.0,0.0,605.0,0.0,0.0
Lithium Ferrite (Li0.5Fe2.5O4),4.75,1520.0,0.85,4.2,13.0,,,Non,0.0,0.0,0.0,1520.0,0.0,0.0
Lithium Fluoride,2.64,845.0,1.55,11.3,37.0,,,Non,0.0,0.0,0.0,845.0,0.0,0.0
Lithium Fluoride Crystal,2.64,845.0,1.55,11.3,37.0,,,Non,0.0,0.0,0.0,845.0,0.0,0.0
Lithium Hydride,0.78,688.0,4.2,4.2,35.0,,,Non,0.0,0.0,0.0,688.0,0.0,0.0
Lithium Iodide,4.08,449.0,0.5,1.0,60.0,,,Non,0.0,0.0,0.0,449.0,0.0,0.0
Lithium Niobate,4.64,1257.0,0.65,4.5,15.0,,,Non,0.0,0.0,0.0,1257.0,0.0,0.0
Lithium Niobate Crystal,4.64,1253.0,0.63,4.6,15.0,,,Non,0.0,0.0,0.0,1253.0,0.0,0.0
Lithium Nitrate,2.38,264.0,1.4,0.6,45.0,,,Non,0.0,0.0,0.0,600.0,0.0,0.0
Lithium Phosphide,1.43,,1.8,0.4,,,,Non,0.0,0.0,0.0,700.0,0.0,0.0
Lithium Silicate (Li2SiO3),2.52,1201.0,1.15,1.2,11.0,,,Non,0.0,0.0,0.0,1201.0,0.0,0.0
Lithium Tantalate,7.45,1650.0,0.45,4.0,16.1,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Lithium Tantalate Crystal,7.45,1650.0,0.42,4.2,16.0,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Low-E Coated Glass,2.5,,0.84,0.9,9.0,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Lutetia (Lu2O3),9.42,2490.0,0.15,12.0,8.2,,,Non,0.0,0.0,0.0,2490.0,0.0,0.0
Lutetium (Pure),9.84,1663.0,0.15,16.0,9.9,,,Non,0.0,0.0,0.0,1663.0,0.0,0.0
Lutetium Boride (LuB6),6.75,1950.0,0.32,48.0,6.2,,,Non,0.0,0.0,0.0,1950.0,0.0,0.0
Lutetium Hexaboride (LuB6),6.65,2355.0,0.3,21.0,9.8,,,Non,0.0,0.0,0.0,2355.0,0.0,0.0
Lutetium Hydride,9.15,1000.0,0.2,6.0,8.8,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Lutetium Iron Garnet (LuIG),7.25,1545.0,0.28,5.6,9.5,,,Non,0.0,0.0,0.0,1545.0,0.0,0.0
Lutetium Oxide (Lu2O3),9.42,2490.0,0.25,12.0,8.5,,,Non,0.0,0.0,0.0,2490.0,0.0,0.0
Lutetium Oxyorthosilicate (LSO),7.4,2050.0,0.3,4.5,9.0,,,Non,0.0,0.0,0.0,2050.0,0.0,0.0
Lutetium Silicide,9.25,950.0,0.12,12.0,8.0,,,Non,0.0,0.0,0.0,950.0,0.0,0.0
Lutetium Yttrium Orthosilicate (LYSO),7.1,2000.0,0.32,4.0,9.5,,,Non,0.0,0.0,0.0,2000.0,0.0,0.0
MBS (Methacrylate Butadiene Styrene),1.1,,1.45,0.16,100.0,,420.0,HB,18.0,550.0,5.0,260.0,34.0,280.0
MDF (Medium Density Fiberboard),0.75,,1.45,0.11,5.0,230.0,340.0,HB,26.0,110.0,28.0,260.0,20.0,180.0
MP159,8.33,1315.0,0.48,11.5,13.5,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0
MP35N,8.43,1315.0,0.5,11.2,12.8,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0
Magnesia (Polycrystalline),3.58,2852.0,1.03,40.0,13.5,,,Non,0.0,0.0,0.0,2852.0,0.0,0.0
Magnesia Fiber,3.58,2800.0,0.95,30.0,13.5,,,Non,0.0,0.0,0.0,2800.0,0.0,0.0
Magnesia-Chrome Brick,3.1,2100.0,1.0,2.5,12.0,,,Non,0.0,0.0,0.0,2100.0,0.0,0.0
Magnesium (99.9%),1.74,650.0,1.02,156.0,25.0,,473.0,HB,0.0,0.0,0.0,650.0,24.0,240.0
Magnesium (AZ31B),1.77,630.0,1.02,96.0,26.0,,450.0,Non,0.0,0.0,0.0,630.0,25.0,0.0
Magnesium AM60B,1.8,540.0,1.02,62.0,26.0,,480.0,HB,0.0,0.0,0.0,540.0,24.0,205.0
Magnesium AZ31B,1.77,482.0,1.02,96.0,26.0,,473.0,HB,0.0,0.0,0.0,482.0,25.0,200.0
Magnesium AZ61A,1.8,525.0,1.02,80.0,26.0,,465.0,HB,0.0,0.0,0.0,525.0,24.5,210.0
Magnesium AZ80A,1.8,490.0,1.02,77.0,26.0,,470.0,HB,0.0,0.0,0.0,490.0,24.0,210.0
Magnesium AZ91D,1.81,427.0,1.05,72.0,26.0,,450.0,HB,0.0,0.0,0.0,427.0,24.0,220.0
Magnesium Aluminate (Spinel),3.58,2135.0,0.85,15.0,7.5,,,Non,0.0,0.0,0.0,2135.0,0.0,0.0
Magnesium Alumino Silicate (Cordierite),2.51,1460.0,0.85,3.0,1.5,,,Non,0.0,0.0,0.0,1460.0,0.0,0.0
Magnesium Bromide,3.72,711.0,0.55,1.8,25.0,,,Non,0.0,0.0,0.0,711.0,0.0,0.0
Magnesium Carbonate (Magnesite),2.96,,1.05,3.5,15.0,,,Non,0.0,0.0,0.0,350.0,0.0,0.0
Magnesium Chloride,2.32,714.0,0.75,2.5,28.0,,,Non,0.0,0.0,0.0,714.0,0.0,0.0
Magnesium Diboride (MgB2),2.55,830.0,1.1,40.0,9.0,,,Non,0.0,0.0,0.0,830.0,0.0,0.0
Magnesium Ferrite (MgFe2O4),4.51,1750.0,0.75,4.5,12.0,,,Non,0.0,0.0,0.0,1750.0,0.0,0.0
Magnesium Fluoride,3.15,1263.0,1.0,15.0,13.7,,,Non,0.0,0.0,0.0,1263.0,0.0,0.0
Magnesium Fluoride Crystal,3.15,1263.0,1.0,15.0,13.7,,,Non,0.0,0.0,0.0,1263.0,0.0,0.0
Magnesium Hydride,1.45,327.0,1.25,5.5,25.0,,,Non,0.0,0.0,0.0,327.0,0.0,0.0
Magnesium Iodide,4.43,637.0,0.45,1.5,35.0,,,Non,0.0,0.0,0.0,637.0,0.0,0.0
Magnesium Nitrate,2.3,,0.95,0.8,28.0,,,Non,0.0,0.0,0.0,330.0,0.0,0.0
Magnesium Oxide,3.58,2852.0,1.0,45.0,13.0,,,Non,0.0,0.0,0.0,2852.0,0.0,0.0
Magnesium Oxide (Single Crystal),3.58,2850.0,0.95,45.0,13.0,,,Non,0.0,0.0,0.0,2850.0,0.0,0.0
Magnesium Oxide Board (MgO),1.1,,1.15,0.22,5.5,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Magnesium Oxychloride Cement,1.9,,1.2,0.5,15.0,,,Non,0.0,0.0,0.0,450.0,0.0,0.0
Magnesium Phosphide,2.06,,0.85,0.4,,,,Non,0.0,0.0,0.0,1000.0,0.0,0.0
Magnesium Powder,1.74,650.0,1.02,156.0,25.0,,473.0,Non,0.0,0.0,0.0,650.0,25.0,0.0
Magnesium Silicate (Enstatite),3.2,1557.0,0.85,3.0,9.5,,,Non,0.0,0.0,0.0,1557.0,0.0,0.0
Magnesium Silicate (Forsterite),3.27,1890.0,0.85,3.5,11.0,,,Non,0.0,0.0,0.0,1890.0,0.0,0.0
Magnesium Silicide,1.99,1085.0,1.05,12.0,14.5,,,Non,0.0,0.0,0.0,1085.0,0.0,0.0
Magnesium Silicide (Mg2Si),1.99,1085.0,1.05,12.0,14.5,,,Non,0.0,0.0,0.0,1085.0,0.0,0.0
Magnesium Stannate (MgSnO3),4.85,1850.0,0.75,3.5,10.0,,,Non,0.0,0.0,0.0,1850.0,0.0,0.0
Magnesium Titanate (MgTiO3),3.89,1650.0,0.9,4.5,9.0,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Magnesium ZK60A,1.83,540.0,1.05,120.0,26.0,,480.0,HB,0.0,0.0,0.0,540.0,24.0,205.0
Magnesium Zirconate (MgZrO3),4.25,2150.0,0.75,3.5,10.0,,,Non,0.0,0.0,0.0,2150.0,0.0,0.0
Magnesium-Thorium Alloy,1.85,550.0,1.05,110.0,25.0,,500.0,HB,0.0,0.0,0.0,550.0,24.0,190.0
Maleic Anhydride,1.48,53.0,1.25,0.14,102.0,477.0,,,,20.0,202.0,13.9,,
Malleable Iron,7.3,1200.0,0.5,30.0,12.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Manganese,7.21,1246.0,0.48,7.8,21.7,,,Non,0.0,0.0,0.0,1246.0,0.0,0.0
Manganese (Pure),7.21,1246.0,0.48,7.8,21.7,,,Non,0.0,0.0,0.0,1246.0,0.0,0.0
Manganese Alumino Silicate (Spessartine),4.19,1200.0,0.65,5.0,8.0,,,Non,0.0,0.0,0.0,1200.0,0.0,0.0
Manganese Boride (MnB),6.45,1890.0,0.45,15.0,11.0,,,Non,0.0,0.0,0.0,1890.0,0.0,0.0
Manganese Bronze,8.3,865.0,0.38,44.0,19.0,,,Non,0.0,0.0,0.0,865.0,0.0,0.0
Manganese Bronze (C86300),7.83,910.0,0.38,35.0,21.0,,,Non,0.0,0.0,0.0,910.0,0.0,0.0
Manganese Diboride (MnB2),5.35,1450.0,0.65,15.0,12.5,,,Non,0.0,0.0,0.0,1450.0,0.0,0.0
Manganese Ferrite (MnFe2O4),5.0,1560.0,0.58,3.2,12.5,,,Non,0.0,0.0,0.0,1560.0,0.0,0.0
Manganese Metal,7.21,1246.0,0.48,7.8,21.7,,,Non,0.0,0.0,0.0,1246.0,0.0,0.0
Manganese Oxide (MnO),5.37,1650.0,0.65,8.0,13.0,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Manganese Silicide,5.9,1275.0,0.48,10.0,14.5,,,Non,0.0,0.0,0.0,1275.0,0.0,0.0
Manganese Silicide (MnSi),5.9,1275.0,0.48,10.0,14.5,,,Non,0.0,0.0,0.0,1275.0,0.0,0.0
Manganese Stannate (MnSnO3),6.25,1600.0,0.5,2.5,12.5,,,Non,0.0,0.0,0.0,1600.0,0.0,0.0
Manganese Titanate (MnTiO3),4.55,1400.0,0.6,3.5,11.5,,,Non,0.0,0.0,0.0,1400.0,0.0,0.0
Manganese(II) Carbonate,3.12,,0.65,1.8,22.0,,,Non,0.0,0.0,0.0,300.0,0.0,0.0
Manganese(II) Oxide,5.37,1650.0,0.65,8.5,13.0,,,Non,0.0,0.0,0.0,1650.0,0.0,0.0
Manganese(IV) Oxide,5.02,535.0,0.65,0.6,12.5,,,Non,0.0,0.0,0.0,535.0,0.0,0.0
Manganin,8.4,960.0,0.41,22.0,18.0,,,Non,0.0,0.0,0.0,960.0,0.0,0.0
Mar-M 247,8.54,1315.0,0.43,12.2,12.5,,,Non,0.0,0.0,0.0,1315.0,0.0,0.0
Maraging Steel 250,8.0,1413.0,0.45,21.0,10.1,,,Non,0.0,0.0,0.0,1413.0,0.0,0.0
Maraging Steel 300,8.1,1413.0,0.45,20.0,10.3,,,Non,0.0,0.0,0.0,1413.0,0.0,0.0
Maraging Steel 350,8.1,1413.0,0.45,19.0,10.5,,,Non,0.0,0.0,0.0,1413.0,0.0,0.0
Marble (Calcitic),2.71,,0.8,2.8,11.0,,,Non,0.0,0.0,0.0,825.0,0.0,0.0
Melamine (Cellulose Filled),1.5,,1.5,0.35,35.0,540.0,570.0,V-0,40.0,5.0,52.0,310.0,14.5,5.0
Melamine Foam,0.01,,1.4,0.03,30.0,550.0,580.0,V-0,35.0,27.5,45.0,300.0,18.0,10.0
Melamine Resin,1.5,,1.2,0.3,40.0,,,V-0,35.0,100.0,45.0,350.0,18.0,15.0
Melamine-Formaldehyde,1.55,,1.5,0.4,25.0,550.0,580.0,V-0,45.0,5.0,55.0,300.0,14.0,5.0
Melamine-Formaldehyde (Mineral Filled),1.85,,1.2,0.5,25.0,550.0,580.0,V-0,48.0,5.0,60.0,320.0,13.0,5.0
Mendelevium Boride (MdB4),8.55,1700.0,0.2,4.0,17.5,,,Non,0.0,0.0,0.0,1700.0,0.0,0.0
Mercury (Metal),13.53,-39.0,0.14,8.0,60.0,,,Non,0.0,0.0,0.0,357.0,0.0,0.0
Mercury Fulminate,4.42,,0.4,0.12,,,180.0,,,1000.0,0.0,180.0,1.5,
Mercury Silicide,12.5,,0.15,5.0,25.5,,,Non,0.0,0.0,0.0,-50.0,0.0,0.0
Mercury(I) Chloride,7.15,523.0,0.15,1.0,45.0,,,Non,0.0,0.0,0.0,523.0,0.0,0.0
Mercury(II) Chloride,5.44,277.0,0.18,0.8,50.0,,,Non,0.0,0.0,0.0,277.0,0.0,0.0
Mercury(II) Iodide (Red),6.36,259.0,0.15,0.6,55.0,,,Non,0.0,0.0,0.0,259.0,0.0,0.0
Methane,0.0007,-182.0,2.2,0.03,-188.0,537.0,,,,0.0,,50.0,,
Methanol,0.79,-98.0,2.5,0.2,11.0,385.0,,,,0.0,,20.0,,
Methanol Fuel (M100),0.79,-98.0,2.53,0.2,,11.0,385.0,HB,17.0,350.0,0.0,65.0,20.0,250.0
Methyl Acetate,0.93,-98.0,1.95,0.16,-10.0,454.0,,,,0.0,,19.5,,
Methyl Acrylate,0.95,-75.0,2.1,0.15,-3.0,463.0,,,,5.0,,25.5,,
Methyl Ethyl Ketone,0.81,-86.0,2.2,0.15,-9.0,404.0,,,,0.0,,31.5,,
Methyl Ethyl Ketone Peroxide,1.17,,1.6,0.18,,,,,,100.0,5.0,110.0,25.0,
Methyl Methacrylate,0.94,-48.0,1.9,0.19,10.0,421.0,,,,5.0,,26.5,,
Methyl Nitrate,1.21,-80.0,1.7,0.18,,2.0,,HB,18.0,,0.0,65.0,11.5,
Methyl t-Butyl Ether,0.74,-109.0,2.15,0.14,-28.0,435.0,,,,0.0,,35.2,,
